x,Location,Roll_No,Photo_No,Scale,Latitude,Longitude,Proj_No,Photo_Date,County,Obtained_from_Where,,,,mxd,Photo_Year
182,Aurora,A27678,12,"7,000",43.997334,-79.461891,2427-001,10/20/90,York Region,NAPL,,,,188,10/20/90
183,Lakefield,A13111,305,"20,000",44.412862,-78.345724,2434-001,4/27/51,Peterborough,NAPL,,,,189,4/27/51
184,Mooonee,A13898,80,"70,000",51.259583,-80.660167,2458-001,10/17/53,Cochrane,NAPL,,,,190,10/17/53
185,Moosonee,A26251,97,"10,000",51.279806,-80.629917,2458-001,5/19/83,Cochrane,NAPL,,,,191,5/19/83
186,Toronto,,,"4,800",,,2630-001,1947,Toronto,Toronto Archives,,,,192,1947
187,Toronto,,,,,,2630-001,4/03/42,Toronto,Toronto Archives,,,,193,4/03/42
188,Peterborough,A13111,92,"20,000",44.31668,-78.316613,2616-001,4/27/51,Peterborough,NAPL,,,,194,4/27/51
189,Coboconk,A139,3,"20,000",44.660112,-78.809307,2634-001,9/28/06,Kawartha Lakes,NAPL,,,,195,9/28/06
190,Coboconk,A18801,14,"20,000",44.665279,-78.790641,2634-001,5/14/65,Kawartha Lakes,NAPL,,,,196,5/14/65
191,Toronto,A23665,111,"25,000",43.701696,-79.374085,2630-001,4/19/74,Toronto,NAPL,,,,197,4/19/74
192,Halibutron,A4890,55,"20,000",45.058584,-78.501613,2627-001,5/17/35,Haliburton,NAPL,,,,198,5/17/35
193,Halibutron,A22319,102,"40,000",45.021584,-78.527391,2627-001,7/02/71,Haliburton,NAPL,,,,199,7/02/71
194,Trenton,A4406,48,"6,000",44.103529,-77.578141,2615-001,10/22/31,Qunite West,NAPL,,,,201,10/22/31
195,Lakefield,A4806,70,"15,000",44.509112,-78.392446,2765-001,9/28/34,Peterborough,NAPL,,,,202,9/28/34
196,Lakefield,A20586,57,"15,000",44.499307,-78.399946,2765-001,5/24/68,Peterborough,NAPL,,,,203,5/24/68
197,Picton,A1718,32,"15,000",44.007696,-77.136057,2752-001,9/16/29,Prince Edward,NAPL,,,,204,9/16/29
198,Picton,A23817,85,"25,000",,,2752-001,7/25/74,Prince Edward,NAPL,,,,205,7/25/74
199,Picton,A23817,87,"25,000",,,2752-001,7/25/74,Prince Edward,NAPL,,,,206,7/25/74
201,Consecon,A1706,22,"15,000",,,,12/29/09,Prince Edward,NAPL,,,,207,12/29/09
202,Consecon,A17821,23,"25,000",,,,5/02/63,Prince Edward,NAPL,,,,208,5/02/63
203,Consecon,A27007,65,"9,000",,,,8/31/68,Prince Edward,NAPL,,,,209,8/31/68
204,Sunderland,RA32,62,"15,000",,,2906-001,8/27/09,Durham,NAPL,,,,210,8/27/09
205,Sunderland,A20973,15,"35,000",,,2906-001,6/10/69,Durham,NEODF-Cat/NAPL,,,,211,6/10/69
206,Delhi,A10060,73,"15,000",,,3048-001,6/23/46,Norfolk,NEODF-Cat/NAPL,,,,212,6/23/46
207,Delhi,A18271,156,"20,000",,,3048-001,4/11/64,Norfolk,NEODF-Cat/NAPL,,,,212,4/11/64
208,Delhi,A25546,32,"50,000",,,3048-001,7/30/80,Norfolk,NEODF-Cat/NAPL,,,,214,7/30/80
209,Cavan Monaghan,A13111,235,"20,000",,,3130-001,4/27/51,Peterborough,NEODF-Cat/NAPL,,,,215,4/27/51
210,Cavan Monaghan,A23979,36,"25,000",,,3130-001,5/07/75,Peterborough,NEODF-Cat/NAPL,,,,216,5/07/75
211,Cavan Monaghan,A25686,50,"50,000",,,3130-001,4/30/81,Peterborough,NEODF-Cat/NAPL,,,,217,4/30/81
212,Cavan Monaghan,A16872,46,"30,000",,,3130-001,10/21/59,Peterborough,NEODF-Cat/NAPL,,,,218,10/21/59
213,Peterborough,A1053,57,"20,000",,,2393-002,10/29/05,Peterborough,NEODF-Cat/NAPL,,,,219,10/29/05
214,Alnwick Haldimand,A16872,46,,,,3253-001,10/21/59,Northumberland,NEODF-Cat/NAPL,,,,220,10/21/59
215,Bonnechere,A18082,145,,,,2897-001,7/06/63,,NEODF-Cat/NAPL,,,,221,7/06/63
216,Barrie,A10080,34,,,,3387-001,1946,Simcoe,ERIS,,,,222,1946
217,Barrie,A15102,16,,,,3387-001,1955,Simcoe,ERIS,,,,223,1955
218,Barrie,A17864,52,,,,3387-001,1962,Simcoe,ERIS,,,,224,1962
219,Barrie,A23963,81,,,,3387-001,1975,Simcoe,ERIS,,,,225,1975
220,Barrie,A25691,111,,,,3387-001,1981,Simcoe,ERIS,,,,226,1981
221,Barrie,A28173,28,,,,3387-001,1995,Simcoe,ERIS,,,,227,1995
222,Thunder Bay,HA501,78,,,,3370-001,4/27/09,Thunder Bay,NEODF-Cat/NAPL,,,,228,4/27/09
223,Thunder Bay,RR2682-V,195,,,,3370-001,7/12/66,Thunder Bay,NEODF-Cat/NAPL,,,,229,7/12/66
224,Thunder Bay,A27299,90,,,,3370-001,10/06/88,Thunder Bay,NEODF-Cat/NAPL,,,,230,10/06/88
225,Oshawa,RA33,75,,,,3596-001,8/27/09,Durham,NEODF-Cat/NAPL,,,,231,8/27/09
226,Oshawa,A13997,94,,,,3596-001,5/24/54,Durham,NEODF-Cat/NAPL,,,,232,5/24/54
227,Long Lake,A1915,1,"15,000",,,none,10/29/10,Peterborough,NEODF-Cat/NAPL,,,,233,10/29/10
228,Brighton,A17793,150,"15,000",,,3515-001,8/08/62,Nothumberland,NEODF-Cat/NAPL,,,,234,8/08/62
229,Brighton,A27083,206,"50,000",,,3515-001,4/25/87,Nothumberland,NEODF-Cat/NAPL,,,,235,4/25/87
230,Brighton,A1915,67,"15,000",,,3515-001,10/29/10,Nothumberland,NEODF-Cat/NAPL,,,,236,10/29/10
